Time,Motion 1 motion,Motion 2 motion,Motion 3 motion,Motion 4 motion
14:56:25,,,0,
14:56:31,,,,0
14:57:27,,,,1
14:59:06,,,1,0
15:00:09,,,0,
15:02:40,,,0,1
15:02:41,,,1,
15:03:39,,1,,
15:03:40,,,0,
15:06:22,,0,,0
15:07:20,,,1,
15:07:25,,1,,
15:08:17,1,,,
15:08:22,,,0,1
15:08:40,,0,,0
15:08:44,,,1,
15:09:58,,1,,
15:10:02,0,,,
15:10:07,,0,,1
15:10:55,,,0,
15:11:29,,,1,
15:12:27,,1,,
15:12:32,,0,,
15:12:38,,1,,
15:13:31,1,,,
15:13:35,,,0,0
15:13:39,,0,,
15:15:08,0,,,
15:15:12,1,,,
15:15:17,,1,,
15:16:09,,,1,
15:16:14,0,,,
15:16:18,,0,,
15:16:32,,,0,
15:16:36,1,,,
15:16:41,,1,,
15:17:35,,,1,
15:17:37,0,,,
15:18:29,1,,,
15:18:35,,,0,
15:18:39,,0,,
15:20:02,0,,,
15:20:08,,,1,
15:20:13,,1,,
15:22:27,1,,,
15:22:31,0,,,1
15:22:37,,0,,
15:25:09,,,0,
15:26:16,,,1,
15:27:06,,,0,
15:27:12,1,,,
15:27:17,,1,,0
15:28:09,,,1,1
15:28:14,0,,,
15:28:19,,0,,
15:29:26,,,0,
15:29:38,1,,,0
15:29:44,,,1,
15:31:41,,1,,
15:31:45,0,,,
15:31:49,,0,,1
15:32:47,,,0,
15:32:54,,,1,
15:32:57,,1,,0
15:33:49,1,,,1
15:33:54,,,0,
15:34:00,,0,,
15:35:09,0,,,
15:35:13,,,1,
15:35:14,,1,,
15:36:16,1,,,
15:36:21,0,,,0
15:36:27,,0,,1
15:37:09,,,0,0
15:37:14,,,1,1
15:37:19,,1,,
15:38:11,1,,,
15:38:17,,,0,
15:38:21,,0,,
15:38:55,0,,,
15:39:00,,,1,
15:39:04,,1,,0
15:40:16,1,,,1
15:40:21,,,0,
15:40:27,,0,,
15:43:36,0,,,
15:43:36,,,1,
15:43:42,1,,,
15:44:40,,1,,
15:44:44,0,,,0
15:44:50,,0,,1
15:50:41,,,0,0
15:50:44,,,1,1
15:50:48,,1,,
15:52:44,1,,,
15:52:49,0,,,
15:52:54,,0,,
15:53:04,,,0,
15:53:09,1,,,
15:53:10,,1,,0
15:54:59,,,1,1
15:55:03,0,,,
15:55:09,,0,,
15:59:49,,,0,
15:59:53,,,1,
15:59:56,,1,,
16:01:48,1,,,
16:01:53,,,0,
16:01:56,,0,,
16:02:37,0,,,
16:02:43,,,1,
16:02:47,,1,,0
16:04:05,1,,,1
16:04:23,,,0,
16:07:00,,,1,
16:07:04,0,,,0
16:07:10,,0,,
16:07:11,1,,,
16:07:14,,,0,
16:07:19,,1,,
16:08:11,,,1,
16:08:16,0,,,
16:08:19,,0,,
16:09:53,,,0,1
16:09:58,,,1,
16:10:05,,1,,0
16:10:55,1,,,
16:11:00,,,0,
16:11:06,,0,,1
16:13:20,0,,,
16:13:24,,,1,
16:13:29,,1,,0
16:14:21,1,,,
16:14:26,,,0,
16:14:29,,0,,1
16:16:10,0,,,
16:16:14,,,1,
16:16:19,,1,,0
16:17:21,1,,,
16:17:22,,0,,1
16:17:26,,1,,
16:17:27,0,,,0
16:18:20,1,,,
16:18:24,,,0,
16:18:28,,0,,
16:18:29,,,1,
16:19:35,,1,,1
16:19:37,,0,,
16:19:54,,,0,
16:23:24,0,,,
16:23:28,1,,,0
16:23:31,,1,,
16:25:15,,,1,
16:25:19,0,,,1
16:25:23,,0,,
16:29:08,,,0,0
16:29:12,1,,,
16:29:17,,1,,
16:30:52,,,1,
16:30:54,0,,,
16:31:47,1,,,1
16:31:50,,,0,
16:31:55,,0,,0
16:32:07,0,,,
16:32:14,1,,,
16:32:19,,1,,
16:34:26,,,1,
16:34:32,,0,,
16:35:10,0,,,
16:35:10,,,0,
16:36:11,1,,,1
16:37:09,0,,,
16:38:30,1,,,
16:38:35,,1,,
16:40:36,,,1,0
16:40:38,0,,,
16:40:42,,0,,
16:40:50,,,0,
16:40:55,,,1,1
16:40:59,,1,,
16:42:59,1,,,
16:43:04,0,,,
16:43:11,,0,,0
16:44:34,,,0,1
16:44:41,1,,,
16:44:47,,1,,
16:45:38,,,1,
16:45:42,0,,,0
16:45:49,,0,,
16:47:28,,,0,
16:47:33,,,1,1
16:47:39,,1,,
16:48:31,1,,,
16:48:34,,,0,
16:48:36,,,1,0
16:48:38,,0,,
16:48:42,,1,,
16:48:44,0,,0,
16:50:11,1,0,,
16:53:14,0,,1,
16:57:14,,,0,
17:00:14,,,,1
17:00:14,,,,
17:00:14,1,,,
17:01:14,,1,,
17:01:14,,,1,
17:02:14,,,,1
17:02:14,0,,0,
17:07:14,,0,,
17:07:14,1,,,0
17:10:14,0,1,1,
17:11:14,1,0,,1
17:12:47,0,,0,0
17:14:36,,,,1
17:15:27,1,,,
17:15:33,,1,,
17:15:36,,,,0
17:15:38,,,1,
17:15:44,,,,1
17:16:29,0,,,
17:16:35,,0,,
17:16:38,,,0,
17:16:57,,,1,
17:17:04,,1,,
17:17:12,1,,,
17:18:06,,,,0
17:18:09,,,0,
17:18:13,,0,,
17:18:47,,1,,
17:18:54,,,1,
17:19:00,,,,1
17:19:42,0,,,
17:19:49,,0,,
17:19:51,,1,,
17:19:52,1,,,
17:21:04,,0,,
17:21:05,0,,,
17:21:07,,1,,
17:21:14,1,,,
17:23:07,0,,,
17:23:13,,0,,
17:23:17,,,0,
17:23:23,,,,0
17:24:17,,,,1
17:25:49,,,,0
17:26:07,,,,1
17:26:23,,,1,
17:26:30,,1,,
17:26:39,1,,,
17:28:08,,,0,
17:28:14,,0,,
17:28:17,0,,,
17:28:47,,,,0
17:31:43,,,,1
17:31:49,,,1,
17:31:54,,1,,
17:31:59,1,,,
17:32:46,,,,0
17:32:49,,,0,
17:32:56,,0,,
17:33:06,0,,,
17:37:02,,,,1
17:40:36,,,1,
17:40:42,,1,,
17:40:54,1,,,
17:42:21,,0,,
17:42:25,,,,0
17:42:26,0,,,
17:42:31,,,0,
17:43:04,,,1,
17:43:05,,,,1
17:43:27,1,,,
17:44:04,,,0,
17:44:09,,,,0
17:44:10,,,1,
17:44:16,,,,1
17:44:31,0,,,
17:45:03,1,,,
17:45:09,,1,,
17:45:12,,,0,
17:45:15,,,1,
17:45:20,,,,1
17:45:20,,,,0
17:46:04,0,,,
17:46:12,,0,,
17:46:16,,,0,
17:47:34,,,,0
17:48:55,,,,1
17:49:44,,1,,
17:49:50,,,1,
17:50:47,,0,,
17:50:52,,,0,
17:50:58,,,,0
17:52:47,,1,,
17:53:50,,0,,
17:54:13,1,,,
17:54:18,,1,,
17:54:23,,,1,
17:54:29,,,,1
17:55:16,0,,,
17:55:20,,0,,
17:55:26,,,0,
17:55:57,,,,0
17:58:52,,,,1
17:59:06,1,,,
17:59:11,,1,,
17:59:17,,,1,
18:00:19,,0,,0
18:00:36,,,,1
18:00:39,0,,,
18:01:02,,,0,
18:01:12,,,1,
18:01:35,,1,,0
18:01:35,1,,,
18:01:55,,,,1
18:02:39,0,,,
18:02:41,1,,,
18:06:13,,0,,
18:06:17,,,0,
18:06:26,0,,,
18:06:35,,,1,
18:06:41,,1,,
18:06:45,1,,,
18:08:25,,,,0
18:08:33,,,,1
18:08:34,,,0,
18:08:38,,,1,
18:09:40,,,0,
18:09:43,,,1,
18:11:08,,,,0
18:11:14,,,0,
18:11:19,,0,,
18:11:23,0,,,
