Time,Motion 1 motion,Motion 2 motion,Motion 3 motion,Motion 4 motion
19:22:11,,1,,
19:22:18,,,1,
19:22:26,,,,1
19:23:04,0,,,
19:23:15,,0,,
19:23:23,,,0,
19:23:32,,,,0
19:33:16,,,,1
19:33:23,,,1,
19:33:28,,1,,
19:33:37,1,,,
19:34:19,,,,0
19:34:25,,,0,
19:34:33,,0,,
19:34:41,0,,,
19:36:48,1,,,
19:36:56,,1,,
19:37:00,,,1,
19:37:06,,,,1
19:37:50,0,,,
19:37:57,,0,,
19:38:01,,,0,
19:38:02,1,,,
19:38:07,,,,0
19:38:09,,1,,
19:38:16,,,1,
19:38:21,,,,1
19:39:04,0,,,
19:39:13,,0,,
19:39:18,,,0,
19:39:23,,,,0
19:47:07,1,,,
19:47:13,,1,,
19:47:18,,,1,
19:47:23,,,,1
19:48:08,0,,,
19:48:15,,0,,
19:48:20,,,0,
19:48:25,,,,0
19:48:50,1,,,
19:48:57,,1,,
19:49:01,,,1,
19:49:06,,,,1
19:49:51,0,,,
19:49:55,1,,,
19:51:42,0,,,
19:51:48,,0,,
19:51:51,,,0,
19:51:56,,,,0
19:53:34,,,,1
19:53:40,,,1,
19:53:49,,1,,
19:53:57,1,,,
19:54:43,,,,0
19:54:49,,,0,
19:54:53,,0,,
19:55:02,0,,,
19:56:48,1,,,
19:56:54,,1,,
19:56:59,,,1,
19:57:05,,,,1
19:57:49,0,,,
19:57:56,,0,,
19:58:02,,,0,
19:58:06,,,,0
20:00:43,,,,1
20:00:48,,,1,
20:00:52,,1,,
20:00:59,1,,,
